Simulated society
IndividualConsumption: 2000
IndividualExchange: 2000
SocietySize: 50000
Point	ViabilityAmount	SolidarityProbability	Ephocs
0	500	0.00	233
1	500	0.10	218
2	500	0.20	201
3	500	0.30	166
4	500	0.40	141
5	500	0.50	120
6	500	0.60	102
7	500	0.70	92
8	500	0.80	81
9	500	0.90	71
10	1000	0.00	224
11	1000	0.10	205
12	1000	0.20	182
13	1000	0.30	156
14	1000	0.40	137
15	1000	0.50	118
16	1000	0.60	103
17	1000	0.70	94
18	1000	0.80	78
19	1000	0.90	69
20	1500	0.00	197
21	1500	0.10	194
22	1500	0.20	175
23	1500	0.30	149
24	1500	0.40	134
25	1500	0.50	115
26	1500	0.60	105
27	1500	0.70	91
28	1500	0.80	86
29	1500	0.90	77
30	2000	0.00	176
31	2000	0.10	176
32	2000	0.20	166
33	2000	0.30	147
34	2000	0.40	131
35	2000	0.50	115
36	2000	0.60	98
37	2000	0.70	90
38	2000	0.80	85
39	2000	0.90	81
40	2500	0.00	186
41	2500	0.10	170
42	2500	0.20	155
43	2500	0.30	137
44	2500	0.40	128
45	2500	0.50	108
46	2500	0.60	99
47	2500	0.70	88
48	2500	0.80	85
49	2500	0.90	69
50	3000	0.00	188
51	3000	0.10	171
52	3000	0.20	149
53	3000	0.30	139
54	3000	0.40	120
55	3000	0.50	111
56	3000	0.60	97
57	3000	0.70	85
58	3000	0.80	86
59	3000	0.90	66
60	3500	0.00	151
61	3500	0.10	156
62	3500	0.20	144
63	3500	0.30	132
64	3500	0.40	122
65	3500	0.50	110
66	3500	0.60	101
67	3500	0.70	87
68	3500	0.80	80
69	3500	0.90	80
70	4000	0.00	158
71	4000	0.10	152
72	4000	0.20	149
73	4000	0.30	132
74	4000	0.40	110
75	4000	0.50	110
76	4000	0.60	100
77	4000	0.70	86
78	4000	0.80	84
79	4000	0.90	70
80	4500	0.00	144
81	4500	0.10	140
82	4500	0.20	134
83	4500	0.30	135
84	4500	0.40	120
85	4500	0.50	108
86	4500	0.60	97
87	4500	0.70	87
88	4500	0.80	77
89	4500	0.90	66
90	5000	0.00	160
91	5000	0.10	151
92	5000	0.20	137
93	5000	0.30	125
94	5000	0.40	116
95	5000	0.50	104
96	5000	0.60	97
97	5000	0.70	86
98	5000	0.80	83
99	5000	0.90	77
100	5500	0.00	116
101	5500	0.10	124
102	5500	0.20	132
103	5500	0.30	115
104	5500	0.40	114
105	5500	0.50	108
106	5500	0.60	98
107	5500	0.70	89
108	5500	0.80	77
109	5500	0.90	73
110	6000	0.00	138
111	6000	0.10	133
112	6000	0.20	129
113	6000	0.30	118
114	6000	0.40	110
115	6000	0.50	105
116	6000	0.60	99
117	6000	0.70	88
118	6000	0.80	80
119	6000	0.90	89
120	6500	0.00	127
121	6500	0.10	126
122	6500	0.20	133
123	6500	0.30	126
124	6500	0.40	116
125	6500	0.50	107
126	6500	0.60	100
127	6500	0.70	88
128	6500	0.80	87
129	6500	0.90	79
130	7000	0.00	134
131	7000	0.10	124
132	7000	0.20	121
133	7000	0.30	119
134	7000	0.40	114
135	7000	0.50	103
136	7000	0.60	99
137	7000	0.70	88
138	7000	0.80	87
139	7000	0.90	70
140	7500	0.00	122
141	7500	0.10	122
142	7500	0.20	122
143	7500	0.30	118
144	7500	0.40	108
145	7500	0.50	105
146	7500	0.60	97
147	7500	0.70	87
148	7500	0.80	82
149	7500	0.90	69
150	8000	0.00	107
151	8000	0.10	122
152	8000	0.20	119
153	8000	0.30	114
154	8000	0.40	110
155	8000	0.50	97
156	8000	0.60	99
157	8000	0.70	90
158	8000	0.80	78
159	8000	0.90	72
160	8500	0.00	123
161	8500	0.10	111
162	8500	0.20	120
163	8500	0.30	111
164	8500	0.40	112
165	8500	0.50	106
166	8500	0.60	98
167	8500	0.70	88
168	8500	0.80	84
169	8500	0.90	86
170	9000	0.00	115
171	9000	0.10	118
172	9000	0.20	117
173	9000	0.30	112
174	9000	0.40	108
175	9000	0.50	55
176	9000	0.60	93
177	9000	0.70	89
178	9000	0.80	75
179	9000	0.90	68
180	9500	0.00	111
181	9500	0.10	114
182	9500	0.20	120
183	9500	0.30	108
184	9500	0.40	102
185	9500	0.50	99
186	9500	0.60	93
187	9500	0.70	86
188	9500	0.80	76
189	9500	0.90	70
190	10000	0.00	108
191	10000	0.10	117
192	10000	0.20	57
193	10000	0.30	110
194	10000	0.40	106
195	10000	0.50	100
196	10000	0.60	92
197	10000	0.70	93
198	10000	0.80	93
199	10000	0.90	69
200	10500	0.00	105
201	10500	0.10	115
202	10500	0.20	114
203	10500	0.30	94
204	10500	0.40	109
205	10500	0.50	104
206	10500	0.60	97
207	10500	0.70	85
208	10500	0.80	81
209	10500	0.90	90
